variant,scenario,beta,seed,episodes,zero_shot_success,zero_shot_return,early_success,early_return,episodes_to_threshold,final_success,final_return,final_steps,jumpstart_delta,early_delta,final_delta,speed_delta,verdict,q_shift_mean_abs,train_seconds
similar,scratch,,1,300,0.0,-118.74999999999974,0.0,-106.38499999999979,,0.0,-64.13999999999999,163.0,0.0,0.0,0.0,0,neutral,0.13874145022736664,0.8552286999993157
similar,full,,1,300,0.0,-88.44999999999976,0.0,-107.90333333333312,,0.0,-59.43000000000002,163.0,0.0,0.0,0.0,0,neutral,0.08798148123162863,0.8301023999993049
similar,scaled_0.25,0.25,1,300,0.0,-88.44999999999976,0.0,-108.1799999999998,,0.0,-56.160000000000046,163.0,0.0,0.0,0.0,0,neutral,0.13511246482282105,0.8691589000000022
similar,scaled_0.5,0.5,1,300,0.0,-88.44999999999976,0.0,-106.40333333333311,,0.0,-55.28000000000004,163.0,0.0,0.0,0.0,0,neutral,0.10329982089816381,0.8581983000003675
similar,scaled_0.75,0.75,1,300,0.0,-88.44999999999976,0.0,-107.08666666666647,,0.0,-89.23999999999985,163.0,0.0,0.0,0.0,0,neutral,0.1025250670356707,0.8762678000002779
similar,selective,,1,300,0.0,-156.34999999999997,0.0,-108.77666666666644,,0.0,-57.52000000000004,163.0,0.0,0.0,0.0,0,neutral,0.11342350342235921,0.8335539999998218
different,scratch,,1,300,0.0,-73.69999999999996,0.0,-66.59833333333331,,0.0,-42.72000000000002,68.0,0.0,0.0,0.0,0,neutral,0.07223059741162167,0.3897253000004639
different,full,,1,300,0.0,-67.49999999999997,0.0,-65.54333333333331,,0.0,-43.600000000000016,68.0,0.0,0.0,0.0,0,neutral,0.07142903808318889,0.3702291999998124
different,scaled_0.25,0.25,1,300,0.0,-67.49999999999997,0.0,-66.82499999999997,,0.0,-45.530000000000015,68.0,0.0,0.0,0.0,0,neutral,0.06557212996860891,0.35698990000037156
different,scaled_0.5,0.5,1,300,0.0,-67.49999999999997,0.0,-65.99666666666664,,0.0,-41.67000000000003,68.0,0.0,0.0,0.0,0,neutral,0.06557176030165415,0.37062840000089636
different,scaled_0.75,0.75,1,300,0.0,-67.49999999999997,0.0,-66.59499999999997,,0.0,-43.86000000000002,68.0,0.0,0.0,0.0,0,neutral,0.06706537847865032,0.36155889999918145
different,selective,,1,300,0.0,-73.79999999999993,0.0,-66.70833333333331,,0.0,-40.26000000000002,68.0,0.0,0.0,0.0,0,neutral,0.0742955100979563,0.3490615999999136
